id	definition_source	definition	definition_pp	definition_description	specific	specific_pp	level_5	level_5_pp	subclass	subclass_pp	class	class_pp	superclass	superclass_pp
2212	class	Azaphilones	0.8880	A structurally variable family of fungal polyketide metabolites possessing a highly oxygenated pyranoquinone bicyclic core, usually known as isochromene, and a quaternary carbon center.	Azaphilones	0.8880					Azaphilones	0.8880	Organoheterocyclic compounds	0.8920
2214	subclass	Terpene glycosides	0.8360	Prenol lipids containing a carbohydrate moiety glycosidically bound to a terpene backbone.	Terpene glycosides	0.8360			Terpene glycosides	0.8360	Prenol lipids	0.8130	Lipids and lipid-like molecules	0.8430
2215	level_5	Iridoid O-glycosides	0.5410	Iridoid monoterpenes containing a glycosyl (usually a pyranosyl) moiety linked to the iridoid skeleton.	Iridoid O-glycosides	0.5410	Iridoid O-glycosides	0.5410	Terpene glycosides	0.8970	Prenol lipids	0.8180	Lipids and lipid-like molecules	0.8660
2216	level_5	Disaccharides	0.9780	Compounds containing two carbohydrate moieties linked to each to each other through a glycosidic bond, no set of three or more glycosidically linked carbohydrate units.	Disaccharides	0.9780	Disaccharides	0.9780	Carbohydrates and carbohydrate conjugates	0.9980	Organooxygen compounds	1.0000	Organic oxygen compounds	1.0000
2217	class	Carboxylic acids and derivatives	0.9240	Compounds containing a carboxylic acid group with the formula -C(=O)OH or a derivative thereof.	Amino acids and derivatives	0.0000	Amino acids and derivatives	0.0000	Amino acids, peptides, and analogues	0.0000	Carboxylic acids and derivatives	0.9240	Organic acids and derivatives	0.9410
2218	subclass	Benzenesulfonyl compounds	0.5470	Aromatic compounds containing a benzenesulfonyl group, which consists of a monocyclic benzene moiety that carries a sulfonyl group.	Benzenesulfonyl compounds	0.5470			Benzenesulfonyl compounds	0.5470	Benzene and substituted derivatives	0.2660	Benzenoids	0.2220
2219	subclass	Dicarboxylic acids and derivatives	0.5970	Organic compounds containing exactly two carboxylic acid groups.	Dicarboxylic acids and derivatives	0.5970			Dicarboxylic acids and derivatives	0.5970	Carboxylic acids and derivatives	0.9590	Organic acids and derivatives	0.9870
2220	level_5	Iridoid O-glycosides	0.9760	Iridoid monoterpenes containing a glycosyl (usually a pyranosyl) moiety linked to the iridoid skeleton.	Iridoid O-glycosides	0.9760	Iridoid O-glycosides	0.9760	Terpene glycosides	0.9930	Prenol lipids	0.9930	Lipids and lipid-like molecules	0.9860
2221	class	Lignan glycosides	0.9650	Aromatic polycyclic compounds containing a carbohydrate component glycosidically linked to a lignan moiety. They include 1-aryltetralin lactones.	Lignan glycosides	0.9650					Lignan glycosides	0.9650	Lignans, neolignans and related compounds	0.9820
2222	level_5	Glycosyl compounds	0.9940	Carbohydrate derivatives in which a sugar group is bonded through its anomeric carbon to another group via a C-, S-,N-,O-, or Se- glycosidic bond.	Phenolic glycosides	0.8960	Glycosyl compounds	0.9940	Carbohydrates and carbohydrate conjugates	1.0000	Organooxygen compounds	1.0000	Organic oxygen compounds	1.0000
2223	level_5	Hydroxy fatty acids	0.5930	Fatty acids in which the chain bears a hydroxyl group.	Hydroxy fatty acids	0.5930	Hydroxy fatty acids	0.5930	Fatty acids and conjugates	0.7400	Fatty Acyls	0.7220	Lipids and lipid-like molecules	0.7980
2225	level_5	Medium-chain fatty acids	0.7920	Fatty acids with an aliphatic tail that contains between 4 and 12 carbon atoms.	Medium-chain fatty acids	0.7920	Medium-chain fatty acids	0.7920	Fatty acids and conjugates	0.9890	Fatty Acyls	0.9950	Lipids and lipid-like molecules	0.9980
2226	level_5	Medium-chain fatty acids	0.7040	Fatty acids with an aliphatic tail that contains between 4 and 12 carbon atoms.	Medium-chain fatty acids	0.7040	Medium-chain fatty acids	0.7040	Fatty acids and conjugates	0.7800	Fatty Acyls	0.9870	Lipids and lipid-like molecules	0.9960
2227	level_5	Iridoid O-glycosides	0.5920	Iridoid monoterpenes containing a glycosyl (usually a pyranosyl) moiety linked to the iridoid skeleton.	Iridoid O-glycosides	0.5920	Iridoid O-glycosides	0.5920	Terpene glycosides	0.9820	Prenol lipids	0.9740	Lipids and lipid-like molecules	0.8920
2228	level_5	Monosaccharides	0.9940	Compounds containing one carbohydrate unit not glycosidically linked to another such unit, and no set of two or more glycosidically linked carbohydrate units. Monosaccharides have the general formula CnH2nOn.	Hexoses	0.9430	Monosaccharides	0.9940	Carbohydrates and carbohydrate conjugates	0.9990	Organooxygen compounds	1.0000	Organic oxygen compounds	1.0000
2229	subclass	Eicosanoids	0.5860	Unsaturated C20 fatty acids or skeletally related compounds. These include prostaglandins, thromboxanes, leukotrienes and other oxygenated derivatives, which are produced primarily by three classes of enzymes, cyclooxygenases (COX-1 and COX-2), lipoxygenases (LOX) and cytochrome P450 mono-oxygenases.	Eicosanoids	0.5860			Eicosanoids	0.5860	Fatty Acyls	0.9950	Lipids and lipid-like molecules	0.9960
2230	subclass	Diterpenoids	0.5790	Terpene compounds formed by four isoprene units.	Diterpenoids	0.5790			Diterpenoids	0.5790	Prenol lipids	0.3400	Lipids and lipid-like molecules	0.9700
2231	subclass	Hydroxycoumarins	0.7500	Coumarins that contain one or more hydroxyl groups attached to the coumarin skeleton.	Hydroxycoumarins	0.7500			Hydroxycoumarins	0.7500	Coumarins and derivatives	0.6740	Phenylpropanoids and polyketides	0.9740
2232	superclass	Organic acids and derivatives	0.9860	Compounds an organic acid or a derivative thereof.	Amino acids and derivatives	0.0430	Amino acids and derivatives	0.0430	Amino acids, peptides, and analogues	0.0440	Carboxylic acids and derivatives	0.1100	Organic acids and derivatives	0.9860
2233	level_5	Glycosyl compounds	0.9380	Carbohydrate derivatives in which a sugar group is bonded through its anomeric carbon to another group via a C-, S-,N-,O-, or Se- glycosidic bond.	O-glycosyl compounds	0.9300	Glycosyl compounds	0.9380	Carbohydrates and carbohydrate conjugates	0.9990	Organooxygen compounds	1.0000	Organic oxygen compounds	1.0000
2234	level_5	Monosaccharides	0.7870	Compounds containing one carbohydrate unit not glycosidically linked to another such unit, and no set of two or more glycosidically linked carbohydrate units. Monosaccharides have the general formula CnH2nOn.	Monosaccharides	0.7870	Monosaccharides	0.7870	Carbohydrates and carbohydrate conjugates	0.7210	Organooxygen compounds	1.0000	Organic oxygen compounds	1.0000
2235	level_5	Glycosyl compounds	0.9760	Carbohydrate derivatives in which a sugar group is bonded through its anomeric carbon to another group via a C-, S-,N-,O-, or Se- glycosidic bond.	Glycosylamines	0.0000	Glycosyl compounds	0.9760	Carbohydrates and carbohydrate conjugates	0.9990	Organooxygen compounds	1.0000	Organic oxygen compounds	1.0000
2236	subclass	Tetracarboxylic acids and derivatives	0.5290	Carboxylic acids containing exactly four carboxyl groups.	Tetracarboxylic acids and derivatives	0.5290			Tetracarboxylic acids and derivatives	0.5290	Carboxylic acids and derivatives	0.9840	Organic acids and derivatives	0.9960
2237	level_5	Coumaric acids and derivatives	0.8780	Aromatic compounds containing Aromatic compounds containing a cinnamic acid moiety (or a derivative thereof) hydroxylated at the C2 (ortho-), C3 (meta-), or C4 (para-) carbon atom of the benzene ring.	Coumaric acids and derivatives	0.8780	Coumaric acids and derivatives	0.8780	Hydroxycinnamic acids and derivatives	0.8740	Cinnamic acids and derivatives	0.9150	Phenylpropanoids and polyketides	0.9720
2238	subclass	Monocarboxylic acids and derivatives	0.8420	Carboxylic acids containing exactly one carboxyl groups.	Monocarboxylic acids and derivatives	0.8420			Monocarboxylic acids and derivatives	0.8420	Carboxylic acids and derivatives	0.7840	Organic acids and derivatives	0.8590
2239	class	Lignan glycosides	0.8940	Aromatic polycyclic compounds containing a carbohydrate component glycosidically linked to a lignan moiety. They include 1-aryltetralin lactones.	Lignan glycosides	0.8940					Lignan glycosides	0.8940	Lignans, neolignans and related compounds	0.9910
2240	level_5	Sesquiterpene lactones	0.8100	Sesquiterpenoids containing a lactone ring.	Sesquiterpene lactones	0.8100	Sesquiterpene lactones	0.8100	Terpene lactones	0.8970	Prenol lipids	0.9750	Lipids and lipid-like molecules	0.9040
2241	level_5	Glycosyl compounds	0.5850	Carbohydrate derivatives in which a sugar group is bonded through its anomeric carbon to another group via a C-, S-,N-,O-, or Se- glycosidic bond.	Glycosylamines	0.0480	Glycosyl compounds	0.5850	Carbohydrates and carbohydrate conjugates	0.8270	Organooxygen compounds	1.0000	Organic oxygen compounds	1.0000
2242	level_5	Monosaccharides	0.9130	Compounds containing one carbohydrate unit not glycosidically linked to another such unit, and no set of two or more glycosidically linked carbohydrate units. Monosaccharides have the general formula CnH2nOn.	Hexoses	0.7510	Monosaccharides	0.9130	Carbohydrates and carbohydrate conjugates	0.9980	Organooxygen compounds	1.0000	Organic oxygen compounds	1.0000
2243	class	Fatty Acyls	0.5360	Organic molecules synthesized by chain elongation of an acetyl-CoA primer with malonyl-CoA (or methylmalonyl-CoA) groups that might contain a cyclic functionality and/or are substituted with heteroatoms.	Fatty Acyls	0.5360					Fatty Acyls	0.5360	Lipids and lipid-like molecules	0.7960
2245	superclass	Lipids and lipid-like molecules	0.5310	Fatty acids and their derivatives, and substances related biosynthetically or functionally to these compounds.	Lipids and lipid-like molecules	0.5310							Lipids and lipid-like molecules	0.5310
2246	class	Pyrimidine nucleosides	0.5070	Compounds comprising a pyrimidine base attached to a ribosyl or deoxyribosyl moiety.	Pyrimidine nucleosides	0.5070					Pyrimidine nucleosides	0.5070	Nucleosides, nucleotides, and analogues	0.5540
2247	subclass	Medium-chain hydroxy acids and derivatives	0.8430	Hydroxy acids with a 6 to 12 carbon atoms long side chain.	Medium-chain hydroxy acids and derivatives	0.8430			Medium-chain hydroxy acids and derivatives	0.8430	Hydroxy acids and derivatives	0.9300	Organic acids and derivatives	0.9990
2248	class	Carboxylic acids and derivatives	0.9860	Compounds containing a carboxylic acid group with the formula -C(=O)OH or a derivative thereof.	Alpha amino acids and derivatives	0.5440	Amino acids and derivatives	0.3960	Amino acids, peptides, and analogues	0.3960	Carboxylic acids and derivatives	0.9860	Organic acids and derivatives	0.9970
2249	class	Organooxygen compounds	0.9950	Organic compounds containing a bond between a carbon atom and an oxygen atom.	Organooxygen compounds	0.9950					Organooxygen compounds	0.9950	Organic oxygen compounds	1.0000
2250	subclass	Anisoles	0.7950	Organic compounds containing a methoxybenzene or a derivative thereof.	Anisoles	0.7950			Anisoles	0.7950	Phenol ethers	0.8500	Benzenoids	0.9140
2251	class	Benzene and substituted derivatives	0.6020	Aromatic compounds containing one monocyclic ring system consisting of benzene.	Benzene and substituted derivatives	0.6020					Benzene and substituted derivatives	0.6020	Benzenoids	0.6020
2252	level_5	Iridoid O-glycosides	0.9760	Iridoid monoterpenes containing a glycosyl (usually a pyranosyl) moiety linked to the iridoid skeleton.	Iridoid O-glycosides	0.9760	Iridoid O-glycosides	0.9760	Terpene glycosides	0.9670	Prenol lipids	0.9500	Lipids and lipid-like molecules	0.8800
2254	subclass	Carboxylic acids	0.9020	Compounds containing a carboxylic acid group with the formula -C(=O)OH.	Carboxylic acids	0.9020			Carboxylic acids	0.9020	Carboxylic acids and derivatives	0.9880	Organic acids and derivatives	0.9950
2255	null	null	null	null	Benzene and substituted derivatives	0.0610					Benzene and substituted derivatives	0.0610	Benzenoids	0.0920
2256	level_5	Secondary alcohols	0.5790	Compounds containing a secondary alcohol functional group, with the general structure HOC(R)(R') (R,R'=alkyl, aryl).	Secondary alcohols	0.5790	Secondary alcohols	0.5790	Alcohols and polyols	0.9260	Organooxygen compounds	1.0000	Organic oxygen compounds	1.0000
2257	subclass	Terpene glycosides	0.9580	Prenol lipids containing a carbohydrate moiety glycosidically bound to a terpene backbone.	Terpene glycosides	0.9580			Terpene glycosides	0.9580	Prenol lipids	0.8860	Lipids and lipid-like molecules	0.8920
2258	subclass	Fatty acids and conjugates	0.6450	Aliphatic monocarboxylic acids with a saturated or unsaturated aliphatic tail (with at least 4 Carbon atoms).	Fatty acids and conjugates	0.6450			Fatty acids and conjugates	0.6450	Fatty Acyls	0.7920	Lipids and lipid-like molecules	0.9520
2259	superclass	Lignans, neolignans and related compounds	0.6710	Plant products of low molecular weight formed primarily from oxidative coupling of two p-propylphenol moieties. They can also be described as micromolecules with two phenylpropanoid units coupled together. They can be attached in various manners, like C5-C5', C8-C8'. Most known natural lignans are oxidized at C9 and C9´ and, based upon the way in which oxygen is incorporated into the skeleton and on the cyclization patterns, a wide range of lignans of very different structural types can be formed.	Lignans, neolignans and related compounds	0.6710							Lignans, neolignans and related compounds	0.6710
2260	level_5	Glycosyl compounds	0.8880	Carbohydrate derivatives in which a sugar group is bonded through its anomeric carbon to another group via a C-, S-,N-,O-, or Se- glycosidic bond.	Glycosyl compounds	0.8880	Glycosyl compounds	0.8880	Carbohydrates and carbohydrate conjugates	0.9600	Organooxygen compounds	1.0000	Organic oxygen compounds	1.0000
2261	subclass	Sesquiterpenoids	0.9900	Terpenes with three consecutive isoprene units.	Sesquiterpenoids	0.9900			Sesquiterpenoids	0.9900	Prenol lipids	0.9710	Lipids and lipid-like molecules	0.9380
2262	subclass	1-hydroxy-2-unsubstituted benzenoids	0.8590	Phenols that a unsubstituted at the 2-position.	1-hydroxy-2-unsubstituted benzenoids	0.8590			1-hydroxy-2-unsubstituted benzenoids	0.8590	Phenols	0.8990	Benzenoids	0.8580
2263	class	Organooxygen compounds	0.9990	Organic compounds containing a bond between a carbon atom and an oxygen atom.	Hexoses	0.0020	Monosaccharides	0.0990	Carbohydrates and carbohydrate conjugates	0.0230	Organooxygen compounds	0.9990	Organic oxygen compounds	1.0000
2264	level_5	Iridoid O-glycosides	0.6460	Iridoid monoterpenes containing a glycosyl (usually a pyranosyl) moiety linked to the iridoid skeleton.	Iridoid O-glycosides	0.6460	Iridoid O-glycosides	0.6460	Terpene glycosides	0.9440	Prenol lipids	0.8940	Lipids and lipid-like molecules	0.9350
2265	level_5	Amino acids and derivatives	0.8060	Organic compounds containing an amine group, a carboxylic acid group (or a derivative thereof), and a side-chain that is specific to each amino acid.	Alpha amino acids and derivatives	0.5710	Amino acids and derivatives	0.8060	Amino acids, peptides, and analogues	0.7990	Carboxylic acids and derivatives	0.8990	Organic acids and derivatives	0.9560
2266	level_5	Medium-chain fatty acids	0.8370	Fatty acids with an aliphatic tail that contains between 4 and 12 carbon atoms.	Medium-chain fatty acids	0.8370	Medium-chain fatty acids	0.8370	Fatty acids and conjugates	0.7480	Fatty Acyls	0.8450	Lipids and lipid-like molecules	0.8400
2267	level_5	Glycosyl compounds	0.9990	Carbohydrate derivatives in which a sugar group is bonded through its anomeric carbon to another group via a C-, S-,N-,O-, or Se- glycosidic bond.	C-glycosyl compounds	0.9450	Glycosyl compounds	0.9990	Carbohydrates and carbohydrate conjugates	1.0000	Organooxygen compounds	1.0000	Organic oxygen compounds	1.0000
2268	level_5	Iridoid O-glycosides	0.8580	Iridoid monoterpenes containing a glycosyl (usually a pyranosyl) moiety linked to the iridoid skeleton.	Iridoid O-glycosides	0.8580	Iridoid O-glycosides	0.8580	Terpene glycosides	0.9910	Prenol lipids	0.9940	Lipids and lipid-like molecules	0.9890
2270	level_5	Medium-chain fatty acids	0.8880	Fatty acids with an aliphatic tail that contains between 4 and 12 carbon atoms.	Medium-chain fatty acids	0.8880	Medium-chain fatty acids	0.8880	Fatty acids and conjugates	0.9950	Fatty Acyls	0.9980	Lipids and lipid-like molecules	0.9990
2271	level_5	Carboxylic acid esters	0.6620	Carboxylic acid derivatives in which the carbon atom from the carbonyl group is attached to an alkyl or an aryl moiety through an oxygen atom (forming an ester group).	Carboxylic acid esters	0.6620	Carboxylic acid esters	0.6620	Carboxylic acid derivatives	0.7670	Carboxylic acids and derivatives	0.9430	Organic acids and derivatives	0.9650
2272	class	Lignan glycosides	0.5190	Aromatic polycyclic compounds containing a carbohydrate component glycosidically linked to a lignan moiety. They include 1-aryltetralin lactones.	Lignan glycosides	0.5190					Lignan glycosides	0.5190	Lignans, neolignans and related compounds	0.4560
2273	subclass	1-hydroxy-2-unsubstituted benzenoids	0.6250	Phenols that a unsubstituted at the 2-position.	1-hydroxy-2-unsubstituted benzenoids	0.6250			1-hydroxy-2-unsubstituted benzenoids	0.6250	Phenols	0.6540	Benzenoids	0.8560
2274	superclass	Lipids and lipid-like molecules	0.9680	Fatty acids and their derivatives, and substances related biosynthetically or functionally to these compounds.	Lipids and lipid-like molecules	0.9680							Lipids and lipid-like molecules	0.9680
2275	level_5	Long-chain fatty acids	0.6020	Fatty acids with an aliphatic tail that contains between 13 and 21 carbon atoms.	Long-chain fatty acids	0.6020	Long-chain fatty acids	0.6020	Fatty acids and conjugates	0.8430	Fatty Acyls	0.8890	Lipids and lipid-like molecules	0.9460
2277	level_5	Medium-chain fatty acids	0.7840	Fatty acids with an aliphatic tail that contains between 4 and 12 carbon atoms.	Medium-chain fatty acids	0.7840	Medium-chain fatty acids	0.7840	Fatty acids and conjugates	0.9680	Fatty Acyls	0.9980	Lipids and lipid-like molecules	0.9990
2278	level_5	Amino acids and derivatives	0.8660	Organic compounds containing an amine group, a carboxylic acid group (or a derivative thereof), and a side-chain that is specific to each amino acid.	Alpha amino acid amides	0.5460	Amino acids and derivatives	0.8660	Amino acids, peptides, and analogues	0.8780	Carboxylic acids and derivatives	0.9240	Organic acids and derivatives	0.9760
2279	level_5	Medium-chain fatty acids	0.7370	Fatty acids with an aliphatic tail that contains between 4 and 12 carbon atoms.	Medium-chain fatty acids	0.7370	Medium-chain fatty acids	0.7370	Fatty acids and conjugates	0.8200	Fatty Acyls	0.9600	Lipids and lipid-like molecules	0.9730
2280	subclass	Carbohydrates and carbohydrate conjugates	0.8030	Monosaccharides, disaccharides, oligosaccharides, polysaccharides, and their derivatives.	Glucuronic acid derivatives	0.5650	Sugar acids and derivatives	0.3980	Carbohydrates and carbohydrate conjugates	0.8030	Organooxygen compounds	1.0000	Organic oxygen compounds	1.0000
2281	superclass	Benzenoids	0.6270	Aromatic compounds containing one or more benzene rings.	Benzenoids	0.6270							Benzenoids	0.6270
2282	level_5	Amino acids and derivatives	0.7000	Organic compounds containing an amine group, a carboxylic acid group (or a derivative thereof), and a side-chain that is specific to each amino acid.	Alpha amino acids and derivatives	0.7890	Amino acids and derivatives	0.7000	Amino acids, peptides, and analogues	0.7010	Carboxylic acids and derivatives	0.9850	Organic acids and derivatives	0.9980
2283	subclass	Dicarboxylic acids and derivatives	0.5630	Organic compounds containing exactly two carboxylic acid groups.	Dicarboxylic acids and derivatives	0.5630			Dicarboxylic acids and derivatives	0.5630	Carboxylic acids and derivatives	0.9670	Organic acids and derivatives	0.9840
2284	subclass	Lineolic acids and derivatives	0.5010	Derivatives of lineolic acid. Lineolic acid is a polyunsaturated omega-6 18 carbon long fatty acid, with two CC double bonds at the 9- and 12-positions.	Lineolic acids and derivatives	0.5010			Lineolic acids and derivatives	0.5010	Fatty Acyls	0.9950	Lipids and lipid-like molecules	0.9990
2286	superclass	Lignans, neolignans and related compounds	0.5470	Plant products of low molecular weight formed primarily from oxidative coupling of two p-propylphenol moieties. They can also be described as micromolecules with two phenylpropanoid units coupled together. They can be attached in various manners, like C5-C5', C8-C8'. Most known natural lignans are oxidized at C9 and C9´ and, based upon the way in which oxygen is incorporated into the skeleton and on the cyclization patterns, a wide range of lignans of very different structural types can be formed.	Lignans, neolignans and related compounds	0.5470							Lignans, neolignans and related compounds	0.5470
2287	null	null	null	null	Purine nucleosides	0.0000					Purine nucleosides	0.0000	Nucleosides, nucleotides, and analogues	0.0130
2288	level_5	Cyclic alcohols and derivatives	0.8450	Organic compounds containing an aliphatic ring substituted with at least one hydroxyl group.	Quinic acids and derivatives	0.6930	Cyclic alcohols and derivatives	0.8450	Alcohols and polyols	0.9640	Organooxygen compounds	1.0000	Organic oxygen compounds	1.0000
2289	superclass	Lignans, neolignans and related compounds	0.5030	Plant products of low molecular weight formed primarily from oxidative coupling of two p-propylphenol moieties. They can also be described as micromolecules with two phenylpropanoid units coupled together. They can be attached in various manners, like C5-C5', C8-C8'. Most known natural lignans are oxidized at C9 and C9´ and, based upon the way in which oxygen is incorporated into the skeleton and on the cyclization patterns, a wide range of lignans of very different structural types can be formed.	Lignans, neolignans and related compounds	0.5030							Lignans, neolignans and related compounds	0.5030
2291	subclass	Fatty acid esters	0.9870	Carboxylic ester derivatives of a fatty acid.	Fatty acid esters	0.9870			Fatty acid esters	0.9870	Fatty Acyls	0.9980	Lipids and lipid-like molecules	0.9990
2292	class	Fatty Acyls	0.7770	Organic molecules synthesized by chain elongation of an acetyl-CoA primer with malonyl-CoA (or methylmalonyl-CoA) groups that might contain a cyclic functionality and/or are substituted with heteroatoms.	Fatty Acyls	0.7770					Fatty Acyls	0.7770	Lipids and lipid-like molecules	0.8310
2293	level_5	Glycosyl compounds	1.0000	Carbohydrate derivatives in which a sugar group is bonded through its anomeric carbon to another group via a C-, S-,N-,O-, or Se- glycosidic bond.	O-glycosyl compounds	1.0000	Glycosyl compounds	1.0000	Carbohydrates and carbohydrate conjugates	1.0000	Organooxygen compounds	1.0000	Organic oxygen compounds	1.0000
2294	subclass	1-benzopyrans	0.6030	Organic aromatic compounds that 1-benzopyran, a bicyclic compound made up of a benzene ring fused to a pyran, so that the oxygen atom is at the 1-position.	1-benzopyrans	0.6030			1-benzopyrans	0.6030	Benzopyrans	0.4970	Organoheterocyclic compounds	0.8730
2295	subclass	Methoxyphenols	0.5730	Compounds containing a methoxy group attached to the benzene ring of a phenol moiety.	Methoxyphenols	0.5730			Methoxyphenols	0.5730	Phenols	0.8320	Benzenoids	0.9960
2297	level_5	Long-chain fatty acids	0.9830	Fatty acids with an aliphatic tail that contains between 13 and 21 carbon atoms.	Long-chain fatty acids	0.9830	Long-chain fatty acids	0.9830	Fatty acids and conjugates	0.9940	Fatty Acyls	0.9990	Lipids and lipid-like molecules	1.0000
2299	subclass	Anisoles	0.5120	Organic compounds containing a methoxybenzene or a derivative thereof.	Anisoles	0.5120			Anisoles	0.5120	Phenol ethers	0.6270	Benzenoids	0.9940
2300	level_5	Tertiary alcohols	0.6170	Compounds in which a hydroxy group, -OH, is attached to a saturated carbon atom R3COH (R not H ).	Tertiary alcohols	0.6170	Tertiary alcohols	0.6170	Alcohols and polyols	0.9940	Organooxygen compounds	1.0000	Organic oxygen compounds	1.0000
2301	level_5	Monosaccharides	0.5820	Compounds containing one carbohydrate unit not glycosidically linked to another such unit, and no set of two or more glycosidically linked carbohydrate units. Monosaccharides have the general formula CnH2nOn.	Monosaccharides	0.5820	Monosaccharides	0.5820	Carbohydrates and carbohydrate conjugates	0.5990	Organooxygen compounds	0.9800	Organic oxygen compounds	1.0000
2304	subclass	1-hydroxy-2-unsubstituted benzenoids	0.7630	Phenols that a unsubstituted at the 2-position.	1-hydroxy-2-unsubstituted benzenoids	0.7630			1-hydroxy-2-unsubstituted benzenoids	0.7630	Phenols	0.8090	Benzenoids	0.9880
2305	class	Fatty Acyls	0.8660	Organic molecules synthesized by chain elongation of an acetyl-CoA primer with malonyl-CoA (or methylmalonyl-CoA) groups that might contain a cyclic functionality and/or are substituted with heteroatoms.	Fatty Acyls	0.8660					Fatty Acyls	0.8660	Lipids and lipid-like molecules	0.9360
2306	level_5	Long-chain fatty acids	0.7310	Fatty acids with an aliphatic tail that contains between 13 and 21 carbon atoms.	Long-chain fatty acids	0.7310	Long-chain fatty acids	0.7310	Fatty acids and conjugates	0.5930	Fatty Acyls	0.9570	Lipids and lipid-like molecules	0.9890
2307	subclass	Tricarboxylic acids and derivatives	0.5000	Carboxylic acids containing exactly three carboxyl groups.	Tricarboxylic acids and derivatives	0.5000			Tricarboxylic acids and derivatives	0.5000	Carboxylic acids and derivatives	0.9770	Organic acids and derivatives	0.9920
2308	subclass	Methoxyphenols	0.5750	Compounds containing a methoxy group attached to the benzene ring of a phenol moiety.	Methoxyphenols	0.5750			Methoxyphenols	0.5750	Phenols	0.6610	Benzenoids	0.9930
2309	subclass	Terpene glycosides	0.7180	Prenol lipids containing a carbohydrate moiety glycosidically bound to a terpene backbone.	Terpene glycosides	0.7180			Terpene glycosides	0.7180	Prenol lipids	0.6090	Lipids and lipid-like molecules	0.8090
2310	subclass	Pyrimidines and pyrimidine derivatives	0.7040	Compounds containing a pyrimidne ring, which is a six-member aromatic heterocycle which consists of two nitrogen atoms (at positions 1 and 3) and four carbon atoms.	Aminopyrimidines and derivatives	0.2460	Aminopyrimidines and derivatives	0.2460	Pyrimidines and pyrimidine derivatives	0.7040	Diazines	0.7170	Organoheterocyclic compounds	0.9970
2311	class	Lignan glycosides	0.5710	Aromatic polycyclic compounds containing a carbohydrate component glycosidically linked to a lignan moiety. They include 1-aryltetralin lactones.	Lignan glycosides	0.5710					Lignan glycosides	0.5710	Lignans, neolignans and related compounds	0.5760
2312	subclass	Cinnamic acid esters	0.5400	Compound containing an ester derivative of cinnamic acid.	Cinnamic acid esters	0.5400			Cinnamic acid esters	0.5400	Cinnamic acids and derivatives	0.6650	Phenylpropanoids and polyketides	0.6670
2313	superclass	Organoheterocyclic compounds	0.9990	Compounds containing a ring with least one carbon atom and one non-carbon atom.	Flavins	0.0010	Flavins	0.0010	Alloxazines and isoalloxazines	0.0000	Pteridines and derivatives	0.0000	Organoheterocyclic compounds	0.9990
2314	level_5	Secondary alcohols	0.7350	Compounds containing a secondary alcohol functional group, with the general structure HOC(R)(R') (R,R'=alkyl, aryl).	Secondary alcohols	0.7350	Secondary alcohols	0.7350	Alcohols and polyols	0.9060	Organooxygen compounds	1.0000	Organic oxygen compounds	1.0000
2315	level_5	Monosaccharides	0.9730	Compounds containing one carbohydrate unit not glycosidically linked to another such unit, and no set of two or more glycosidically linked carbohydrate units. Monosaccharides have the general formula CnH2nOn.	Hexoses	0.8430	Monosaccharides	0.9730	Carbohydrates and carbohydrate conjugates	0.9980	Organooxygen compounds	0.9990	Organic oxygen compounds	1.0000
2316	subclass	Furofuran lignans	0.7800	Lignans with a structure based on 1,4-diphenyl-hexahydrofuro[3,4-c]furan skeleton.	Furofuran lignans	0.7800			Furofuran lignans	0.7800	Furanoid lignans	0.7530	Lignans, neolignans and related compounds	0.9330
2317	subclass	Anisoles	0.8780	Organic compounds containing a methoxybenzene or a derivative thereof.	Anisoles	0.8780			Anisoles	0.8780	Phenol ethers	0.8970	Benzenoids	0.9870
2318	subclass	Dicarboxylic acids and derivatives	0.6790	Organic compounds containing exactly two carboxylic acid groups.	Dicarboxylic acids and derivatives	0.6790			Dicarboxylic acids and derivatives	0.6790	Carboxylic acids and derivatives	0.6960	Organic acids and derivatives	0.7410
2319	level_5	Disaccharides	0.9980	Compounds containing two carbohydrate moieties linked to each to each other through a glycosidic bond, no set of three or more glycosidically linked carbohydrate units.	Disaccharides	0.9980	Disaccharides	0.9980	Carbohydrates and carbohydrate conjugates	0.9980	Organooxygen compounds	0.9990	Organic oxygen compounds	1.0000
2320	subclass	Fatty acids and conjugates	0.5540	Aliphatic monocarboxylic acids with a saturated or unsaturated aliphatic tail (with at least 4 Carbon atoms).	Fatty acids and conjugates	0.5540			Fatty acids and conjugates	0.5540	Fatty Acyls	0.8000	Lipids and lipid-like molecules	0.7830
2321	subclass	Terpene glycosides	0.6700	Prenol lipids containing a carbohydrate moiety glycosidically bound to a terpene backbone.	Terpene glycosides	0.6700			Terpene glycosides	0.6700	Prenol lipids	0.5680	Lipids and lipid-like molecules	0.6570
2322	class	Lignan glycosides	0.9420	Aromatic polycyclic compounds containing a carbohydrate component glycosidically linked to a lignan moiety. They include 1-aryltetralin lactones.	Lignan glycosides	0.9420					Lignan glycosides	0.9420	Lignans, neolignans and related compounds	0.9630
2323	class	Lignan glycosides	0.9860	Aromatic polycyclic compounds containing a carbohydrate component glycosidically linked to a lignan moiety. They include 1-aryltetralin lactones.	Lignan glycosides	0.9860					Lignan glycosides	0.9860	Lignans, neolignans and related compounds	0.9950
